,0
0,12915
1,16440
2,21770
3,21165
4,23895
5,27025
6,27770
7,24350
8,26770
9,23990
10,20855
11,24890
12,27280
13,32035
14,26925
15,28125
16,29460
17,30710
18,26485
19,21265
20,20480
21,18320
22,16205
23,19085
24,21890
25,22825
26,28120
27,25120
28,25435
29,27460
30,25770
31,22210
32,22155
33,21175
34,20155
35,24220
36,23550
37,25645
38,30815
39,28825
40,28785
41,30070
42,29045
43,25325
44,27920
45,26395
46,22880
47,21805
48,18645
49,20250
50,27055
51,26900
52,33015
53,34365
54,36615
55,31585
56,35515
57,31235
58,25080
59,20910
60,24715
61,25895
62,18530
63,4105
64,10900
65,19065
66,13725
67,11375
68,15015
69,14995
70,15265
71,11000
72,24700
73,23395
74,22395
75,21165
76,17470
77,35800
78,39750
79,37910
80,45255
81,46505
82,47625
83,44065
84,35450
85,37365
86,40985
87,36370
88,37990
89,43955
90,43345
91,34145
92,44700
93,33735
94,26095
95,23455
96,50910
97,49655
98,44855
99,29330
