date,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
2015-1-01 00:00:00,50,45,130,125,2090,5320,715,605,1900,1910,15,10,0
2015-2-01 00:00:00,75,65,185,230,2920,6590,920,680,2645,2095,20,0,5
2015-3-01 00:00:00,75,90,285,270,4205,7860,1435,1075,3660,2775,20,15,5
2015-4-01 00:00:00,95,75,230,170,4070,7610,1240,1075,3785,2770,30,10,0
2015-5-01 00:00:00,105,120,285,145,4315,9510,1260,1260,3885,2970,15,25,0
2015-6-01 00:00:00,70,95,320,235,5055,10575,1535,1290,4295,3480,30,35,10
2015-7-01 00:00:00,70,130,335,270,5350,10375,1545,1295,4525,3810,30,20,0
2015-8-01 00:00:00,120,130,365,245,4080,9120,1150,1180,4465,3400,35,25,0
2015-9-01 00:00:00,95,105,370,250,4300,10165,1375,1205,5175,3680,30,20,0
2015-10-01 00:00:00,75,125,315,200,4005,8895,1500,1085,4650,3090,20,20,0
2015-11-01 00:00:00,90,90,270,160,3590,7860,1135,840,4085,2695,15,15,5
2015-12-01 00:00:00,200,120,340,280,5025,9700,1075,935,4150,3040,5,10,0
2016-1-01 00:00:00,110,145,695,710,4335,10300,1185,1225,4685,3840,25,10,5
2016-2-01 00:00:00,175,260,705,1040,5195,11835,1560,1485,5615,4125,15,15,5
2016-3-01 00:00:00,135,155,475,280,4345,9580,1630,1395,5070,3800,25,25,0
2016-4-01 00:00:00,85,245,515,285,4375,10390,1675,1365,5315,3825,25,25,0
2016-5-01 00:00:00,165,175,545,310,5165,10795,1735,1405,5260,3875,15,10,0
2016-6-01 00:00:00,105,335,565,465,5625,11055,1875,1750,4850,4025,15,20,10
2016-7-01 00:00:00,95,325,420,440,5820,9465,1570,1480,3810,3025,15,20,0
2016-8-01 00:00:00,100,220,395,280,4675,7485,1405,1000,3220,2465,15,0,0
2016-9-01 00:00:00,70,150,315,250,4210,7835,1220,990,3070,2330,15,10,0
2016-10-01 00:00:00,35,85,255,220,3310,7560,1020,920,2790,2095,5,20,0
2016-11-01 00:00:00,75,130,360,175,2735,6215,955,925,2530,2085,20,5,0
2016-12-01 00:00:00,55,90,275,255,3455,7360,995,935,3030,2595,25,15,0
2017-1-01 00:00:00,50,150,345,210,3295,7320,1105,1295,4425,3625,25,40,0
2017-2-01 00:00:00,95,165,360,240,3825,8210,1165,1045,4225,3445,20,15,0
2017-3-01 00:00:00,115,290,430,280,5750,9760,1620,1485,4735,3590,30,25,5
2017-4-01 00:00:00,110,290,330,320,5045,8565,1465,1420,4200,3335,25,15,0
2017-5-01 00:00:00,125,145,445,375,4940,8980,1460,1390,4150,3370,20,25,10
2017-6-01 00:00:00,110,220,435,415,6105,9725,1580,1430,3945,3450,20,30,0
2017-7-01 00:00:00,145,210,375,365,5850,10095,1320,1380,3200,2795,15,15,0
2017-8-01 00:00:00,100,240,380,425,4185,8725,1205,1305,2635,2975,15,20,0
2017-9-01 00:00:00,120,180,400,305,3820,9245,1240,1285,2615,2930,20,0,0
2017-10-01 00:00:00,60,195,345,295,3110,9695,935,1100,2600,2810,10,10,0
2017-11-01 00:00:00,70,130,295,175,3210,9320,805,760,2520,2820,20,20,10
2017-12-01 00:00:00,85,125,375,255,3250,12370,745,790,2875,3315,10,15,5
2018-1-01 00:00:00,65,100,360,285,2640,10915,970,1065,3040,4045,30,30,0
2018-2-01 00:00:00,110,145,470,420,3605,11165,1070,1450,3285,3875,35,20,0
2018-3-01 00:00:00,120,235,515,460,4790,13175,1390,1475,4290,4270,30,55,0
2018-4-01 00:00:00,120,165,555,360,4390,12195,1520,1480,3850,4125,45,15,0
2018-5-01 00:00:00,145,180,505,405,4175,12285,1595,1490,4100,3855,25,10,0
2018-6-01 00:00:00,145,175,575,365,4880,13315,1380,1415,3685,4085,10,35,0
